time_step,model_1,model_2,outcome
1,Glicko,TrueSkill,0.0
1,Glicko,TrueSkill,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,TrueSkill,0.0
1,Elo,Glicko,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,0.0
1,Elo,Glicko,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
1,Elo,Glicko,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
1,Elo,Glicko,1.0
1,Elo,Glicko,1.0
1,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
1,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,1.0
2,Glicko,TrueSkill,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Glicko,1.0
2,Elo,Glicko,1.0
2,Elo,Glicko,1.0
2,Glicko,TrueSkill,0.0
2,Elo,Glicko,1.0
2,Elo,TrueSkill,0.0
2,Elo,TrueSkill,0.0
2,Elo,TrueSkill,0.0
2,Elo,TrueSkill,0.0
2,Elo,TrueSkill,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Glicko,0.0
2,Glicko,TrueSkill,0.0
2,Glicko,TrueSkill,0.0
2,Glicko,TrueSkill,1.0
2,Glicko,TrueSkill,0.0
2,Glicko,TrueSkill,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,1.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,1.0
2,Glicko,TrueSkill,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,1.0
2,Elo,Weng-Lin Thurstone-Mosteller,1.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
2,Elo,Weng-Lin Thurstone-Mosteller,1.0
2,Glicko,TrueSkill,1.0
2,Glicko,Weng-Lin Thurstone-Mosteller,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
2,Glicko,TrueSkill,0.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
2,Elo,TrueSkill,0.0
2,Elo,TrueSkill,1.0
2,Elo,TrueSkill,1.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,Glicko,TrueSkill,0.0
2,Glicko,TrueSkill,0.0
2,Glicko,TrueSkill,0.0
2,Glicko,TrueSkill,0.0
2,Glicko,TrueSkill,1.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,TrueSkill,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,1.0
2,Elo,Glicko,1.0
2,Elo,Glicko,1.0
2,Elo,Glicko,1.0
2,Elo,Glicko,1.0
2,Elo,Glicko,0.0
2,Elo,TrueSkill,1.0
2,Elo,TrueSkill,0.0
2,Elo,TrueSkill,0.0
2,Elo,TrueSkill,0.0
2,Elo,TrueSkill,0.0
2,Elo,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,TrueSkill,1.0
2,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
2,Elo,Glicko,0.0
2,Elo,Glicko,0.0
2,Elo,Glicko,0.0
2,Elo,Glicko,0.0
2,Elo,Glicko,1.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
3,Glicko,TrueSkill,1.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,TrueSkill,1.0
3,Glicko,TrueSkill,0.0
3,Glicko,TrueSkill,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,TrueSkill,1.0
3,Glicko,TrueSkill,1.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,Glicko,1.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,Glicko,0.0
3,Elo,Glicko,0.0
3,Elo,Glicko,1.0
3,Glicko,TrueSkill,1.0
3,Glicko,TrueSkill,0.0
3,Glicko,TrueSkill,0.0
3,Elo,Weng-Lin Thurstone-Mosteller,1.0
3,Elo,Weng-Lin Thurstone-Mosteller,1.0
3,Elo,Weng-Lin Thurstone-Mosteller,1.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,1.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,TrueSkill,0.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,Weng-Lin Thurstone-Mosteller,1.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,1.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
3,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
3,Elo,Glicko,1.0
3,Elo,Glicko,0.0
3,Elo,Glicko,0.0
3,Elo,Glicko,0.0
3,Elo,Glicko,1.0
3,Elo,Glicko,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,0.0
3,Elo,Glicko,1.0
3,Elo,Glicko,1.0
3,Elo,Glicko,0.0
3,Elo,Glicko,0.0
3,Elo,Glicko,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,1.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,Weng-Lin Thurstone-Mosteller,1.0
3,Elo,TrueSkill,1.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,TrueSkill,0.0
3,Elo,TrueSkill,0.0
3,Glicko,TrueSkill,0.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,TrueSkill,0.0
3,Glicko,TrueSkill,0.0
3,Elo,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,TrueSkill,1.0
3,Glicko,TrueSkill,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,1.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Elo,TrueSkill,1.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
3,Glicko,TrueSkill,0.0
3,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,TrueSkill,0.0
4,Elo,Glicko,0.0
4,Elo,Glicko,1.0
4,Glicko,TrueSkill,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,TrueSkill,0.0
4,Glicko,TrueSkill,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,1.0
4,Elo,Weng-Lin Thurstone-Mosteller,1.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,1.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,TrueSkill,0.0
4,Glicko,TrueSkill,0.0
4,Glicko,TrueSkill,1.0
4,Elo,Glicko,0.0
4,Elo,Glicko,0.0
4,Elo,TrueSkill,0.0
4,Elo,Glicko,0.0
4,Elo,TrueSkill,0.0
4,Elo,TrueSkill,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,1.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,TrueSkill,0.0
4,Elo,Glicko,1.0
4,Elo,TrueSkill,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,1.0
4,Elo,TrueSkill,1.0
4,Elo,TrueSkill,0.0
4,Elo,TrueSkill,0.0
4,Elo,TrueSkill,0.0
4,Glicko,TrueSkill,1.0
4,Elo,TrueSkill,0.0
4,Elo,TrueSkill,0.0
4,Elo,TrueSkill,0.0
4,Glicko,TrueSkill,0.0
4,Elo,TrueSkill,1.0
4,Glicko,TrueSkill,1.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,1.0
4,Glicko,TrueSkill,1.0
4,Glicko,TrueSkill,1.0
4,Glicko,TrueSkill,1.0
4,Glicko,TrueSkill,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,TrueSkill,1.0
4,Elo,TrueSkill,1.0
4,Elo,Glicko,1.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,1.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,1.0
4,Elo,Glicko,0.0
4,Glicko,TrueSkill,0.0
4,Elo,Glicko,0.0
4,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Glicko,1.0
4,Elo,Glicko,1.0
4,Elo,Glicko,0.0
4,Elo,Glicko,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Glicko,0.0
4,Elo,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Elo,Glicko,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
4,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,TrueSkill,1.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
5,Glicko,TrueSkill,0.0
5,Glicko,TrueSkill,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Glicko,1.0
5,Elo,Glicko,0.0
5,Elo,Glicko,1.0
5,Elo,Glicko,0.0
5,Elo,Glicko,1.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,1.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,TrueSkill,1.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,1.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,TrueSkill,1.0
5,Glicko,TrueSkill,1.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,TrueSkill,0.0
5,Elo,TrueSkill,0.0
5,Elo,TrueSkill,0.0
5,Elo,TrueSkill,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,TrueSkill,1.0
5,Elo,TrueSkill,1.0
5,Elo,TrueSkill,0.0
5,Elo,TrueSkill,1.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,1.0
5,Elo,TrueSkill,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,1.0
5,Elo,TrueSkill,1.0
5,Elo,TrueSkill,0.0
5,Elo,TrueSkill,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,TrueSkill,0.0
5,Elo,TrueSkill,0.0
5,Elo,Glicko,1.0
5,Elo,Glicko,0.0
5,Elo,Glicko,0.0
5,Elo,Glicko,0.0
5,Elo,Glicko,0.0
5,Elo,Glicko,0.0
5,Elo,Glicko,0.0
5,Elo,Glicko,0.0
5,Elo,Glicko,0.0
5,Elo,Glicko,1.0
5,Glicko,Weng-Lin Thurstone-Mosteller,1.0
5,Glicko,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,TrueSkill,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,1.0
5,Elo,Weng-Lin Thurstone-Mosteller,1.0
5,Elo,Weng-Lin Thurstone-Mosteller,1.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Elo,Weng-Lin Thurstone-Mosteller,0.0
5,Glicko,TrueSkill,1.0
5,Glicko,TrueSkill,0.0
5,Glicko,Weng-Lin Thurstone-Mosteller,1.0
5,Glicko,TrueSkill,1.0
5,Glicko,TrueSkill,0.0
5,TrueSkill,Weng-Lin Thurstone-Mosteller,0.0
